Date,Average Viewers,Follows,Minutes Streamed,Minutes Watched,Live Views,Max Viewers,Unique Viewers,Engaged Viewers,Hosts and Raids Viewers (%),Chatters,Chat Messages,Clips Created,Clip Views,Featured Clip Views,Unfeatured Clip Views,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Turbo Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Other Bits Interactions Revenue,New Engaged Viewers,Returning Engaged Viewers,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs,Gifted Tier 2 subs,Gifted Tier 3 subs,Total Multi-Month Gifted subs,Multi-Month Gifted Tier 1 subs,Multi-Month Gifted Tier 2 subs,Multi-Month Gifted Tier 3 subs
Sun Aug 23 2026,20.14,20,837,16861,1637,34,1056,120,3.21,53,1843,1,8,0,8,42,180.65,2.67,2.25,0,0,1.75,0.4,0,0,0,0,41,80,1,1,1,0,0,0,0,0,0,0,0,0,0
Mon Aug 24 2026,27.55,7,318,8788,617,47,437,83,22.66,40,998,0,11,5,6,18,203.77,0,0,2.87,0,1.95,0.6,0,0,0,0,30,53,0,0,0,0,0,1,1,0,0,0,0,0,0
Tue Aug 25 2026,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 26 2026,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Thu Aug 27 2026,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 28 2026,17.97,8,433,7782,565,29,345,74,0,43,349,0,0,0,0,24,199.54,0,0,0,1,0.26,0.14,0,0,0,0,14,60,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Aug 29 2026,27.34,11,866,23678,1381,52,874,170,10.03,62,1834,1,7,0,8,42,174.6,0,0,0,0,1.61,0.54,0,0,0,0,61,110,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Aug 30 2026,20.07,7,629,12627,802,36,523,87,7.67,45,1742,1,14,1,22,33,188.87,0,2.25,0,0,1.33,0.71,0,0,0,0,16,71,1,0,0,0,0,0,0,0,0,0,0,0,0
Mon Aug 31 2026,28.37,5,301,8539,481,47,305,78,19.14,38,857,0,4,0,3,15,179.4,0,0,0,0.01,1.32,0.74,0,0,0,0,24,54,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 01 2026,0,0,0,0,1,0,1,0,0,0,0,0,19,3,53,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
