Date,Average Viewers,Follows,Minutes Streamed,Minutes Watched,Live Views,Max Viewers,Unique Viewers,Engaged Viewers,Hosts and Raids Viewers (%),Chatters,Chat Messages,Clips Created,Clip Views,Featured Clip Views,Unfeatured Clip Views,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Turbo Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Other Bits Interactions Revenue,New Engaged Viewers,Returning Engaged Viewers,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs,Gifted Tier 2 subs,Gifted Tier 3 subs,Total Multi-Month Gifted subs,Multi-Month Gifted Tier 1 subs,Multi-Month Gifted Tier 2 subs,Multi-Month Gifted Tier 3 subs
Thu May 01 2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 01 2025,0.46,3,971,443,45,4,15,3,0,9,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 01 2025,1.98,66,17740,35204,1486,52,540,124,9.1,95,12565,3,17,0,12,0,0,0,2.25,0,0,0.87,0.09,0,0,0,0,122,27,1,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 01 2025,10.46,168,11619,121544,7645,82,3238,504,8.44,211,25303,8,120,87,35,138,42.76,6.12,4.05,9.52,0,15.14,3.19,0,0,0,0,448,150,2,3,3,0,0,4,4,0,0,0,0,0,0
Mon Sep 01 2025,11.15,125,7790,86852,8005,41,3453,436,6.8,208,20011,2,25,14,11,426,196.87,12.9,10.8,95.85,4.38,22.8,4.55,0,0,0,0,312,168,5,5,5,0,0,44,44,0,0,0,0,0,0
Wed Oct 01 2025,12.71,70,4153,52800,4538,82,2120,293,9.23,150,11912,3,23,11,12,240,208.04,12.98,11.25,40.13,0,10.46,1.57,0,0,0,0,168,150,5,5,5,0,0,17,17,0,0,0,0,0,0
Sat Nov 01 2025,9.23,31,3107,28657,3221,27,1432,175,0.38,118,8622,9,99,33,99,195,225.94,14.87,13.05,17.21,0.4,7.98,1.43,0,0,0,0,77,107,6,6,6,0,0,6,6,0,0,0,0,0,0
Mon Dec 01 2025,11.72,27,2664,31231,2769,42,1508,195,15.14,102,6481,1,16,11,6,150,202.7,10.09,0,5.15,10,9.49,1.9,0,0,0,0,102,102,0,4,4,0,0,2,2,0,0,0,0,0,0
Thu Jan 01 2026,17.15,91,6043,103610,8212,64,3864,467,16.79,178,15394,4,85,36,71,330,196.59,12.95,4.5,43.83,1.01,14.64,2.28,0,0,0,0,305,208,2,5,5,0,0,19,19,0,0,0,0,0,0
Sun Feb 01 2026,17.72,55,3599,63826,4290,122,2289,344,21.39,128,6387,1,84,88,7,189.5,189.55,15.9,2.25,22.83,0,10.32,3.26,0,0,0,0,195,162,1,6,6,0,0,9,9,0,0,0,0,0,0
Sun Mar 01 2026,13.28,69,6233,82760,7495,107,3352,431,18.42,177,8651,3,65,45,20,324.5,187.42,13.34,11.25,17.18,0,10.66,3.01,0,0,0,0,250,218,5,5,5,0,0,6,6,0,0,0,0,0,0
Wed Apr 01 2026,16.29,54,3737,60891,5582,82,2787,333,10.29,136,5334,0,34,54,31,186.5,179.66,16.13,9,36.62,0,5.08,2.2,0,0,0,0,178,173,4,6,6,0,0,15,15,0,0,0,0,0,0
Fri May 01 2026,17.06,87,3971,67730,5562,58,2743,383,6.43,141,6438,1,25,28,9,198,179.5,19.02,9,0,0.03,7.64,2.14,0,0,0,0,217,188,4,7,7,0,0,0,0,0,0,0,0,0,0
Mon Jun 01 2026,15.16,66,4931,74717,6222,41,2757,320,7.76,135,8199,12,360,104,304,208.5,152.22,16.07,2.25,33.33,2.91,10.21,2.9,0,0,0,0,148,192,1,6,6,0,0,14,14,0,0,0,0,0,0
Wed Jul 01 2026,14.76,72,6491,95838,8468,53,3350,420,6.86,159,9206,4,153,24,139,271.5,150.58,17.23,11.25,19.68,2.18,9.06,3.57,0,0,0,0,193,251,5,7,7,0,0,8,8,0,0,0,0,0,0
Sat Aug 01 2026,19,142,9175,174283,14285,52,5446,746,10.92,255,16907,6,125,20,120,459.5,180.29,14.41,6.75,2.87,7.78,13.99,5.55,0,0,0,0,412,402,3,6,6,0,0,1,1,0,0,0,0,0,0
Tue Sep 01 2026,20.87,68,7523,157021,9734,58,3536,585,12.21,208,12057,0,128,22,232,388,185.67,8.57,0,25.64,1.01,20.21,7.57,0,0,0,0,237,389,0,3,3,0,0,11,11,0,0,0,0,0,0
